id,race,clothes,drink,boots,accessories,glasses
44,Bear,Bathrobe,Vodka,,The Ushanka,
45,Bear,Fur coat,Beer,Felt boots,The Ushanka,
46,Bear,Hoodie,Vodka,Army boots,,Kurt Cobain
47,Bear,Military,Beer,Army boots,,
48,Bear,Worker,Vodka,The Lapti,Scar,
49,Bear,Military,Beer,Felt boots,Scar,Party
50,Bear,Fur coat,Whiskey,Felt boots,,
51,Bear,Costume,Vodka,Army boots,Golden chains,
52,Bear,Military,Vodka,Slippers,,Kurt Cobain
53,Bear,Medical uniform,Beer,The Lapti,Scar,
54,Bear,Military,Whiskey,The Lapti,Scar,
55,Bear,Vest,Vodka,,,
56,Bear,Bathrobe,Vodka,Sandals with socks,,Kurt Cobain
57,Bear,Sleeveless shirt,Vodka,Felt boots,The Ushanka,
58,Bear,Sleeveless shirt,Beer,,The Ushanka,
59,Bear,Medical uniform,Whiskey,Felt boots,,
60,Bear,Skin,Vodka,Sandals with socks,,Black
61,Bear,Hoodie,Vine,Slippers,Scar,Neo
62,Bear,Costume,Vine,,Balaclava,Love
63,Bear,Vest,Vodka,The Lapti,,
64,Bear,Hoodie,Vodka,Felt boots,,
65,Bear,Skin,Vodka,,Golden chains,
66,Bear,Hoodie,Vine,Felt boots,,
67,Bear,Costume,Vodka,,,Love
68,Bear,Shirt with tie,Beer,Sandals with socks,,Party
69,Bear,Bathrobe,Vodka,The Lapti,Balaclava,
70,Bear,Vest,Vodka,Adidas,,Neo
71,Bear,Fur coat,Beer,Felt boots,Scar,Black
72,Bear,Worker,Vodka,,,Party
73,Bear,Fur coat,Whiskey,Army boots,Scar,Neo
74,Bear,Worker,Vodka,Adidas,Scar,
75,Bear,Medical uniform,Vodka,Sandals with socks,Balaclava,Kurt Cobain
76,Bear,Fur coat,Tincture,Army boots,,Neo
77,Bear,Shirt with tie,Vodka,,Balaclava,
78,Bear,Shirt with tie,Vodka,,Balaclava,
79,Bear,Bathrobe,Vodka,The Lapti,,
80,Bear,Hoodie,Vodka,Slippers,,
81,Bear,Bathrobe,Vodka,,,
82,Bear,Skin,Whiskey,The Lapti,,
83,Bear,Skin,Absinthe,Adidas,,Love
84,Bear,Sleeveless shirt,Whiskey,Army boots,,Love
85,Bear,Vest,Beer,Sandals with socks,,Black
86,Bear,Vest,Vodka,Slippers,,Love
87,Bear,Hoodie,Vodka,Felt boots,,Neo
88,Bear,Vest,Vodka,,,Party
89,Bear,Bathrobe,Vodka,Adidas,Golden chains,Kurt Cobain
90,Bear,Costume,Vodka,Army boots,,
91,Bear,Fur coat,Vodka,Adidas,,
92,Bear,Skin,Vodka,Sandals with socks,,
93,Bear,Costume,Beer,,,Neo
94,Bear,Shirt with tie,Beer,Army boots,The Ushanka,Love
95,Bear,Bathrobe,Beer,,Balaclava,
96,Bear,Skin,Vodka,,Balaclava,
97,Bear,Sleeveless shirt,Vodka,The Lapti,Scar,Kurt Cobain
98,Bear,Skin,Vodka,,Scar,
99,Bear,Vest,Vine,Felt boots,,
100,Bear,Fur coat,Whiskey,,Balaclava,
101,Bear,Costume,Vodka,Slippers,The Ushanka,
102,Bear,Vest,Beer,Adidas,,Kurt Cobain
103,Bear,Fur coat,Vodka,Adidas,,
104,Bear,Worker,Whiskey,Adidas,,Party
105,Bear,Hoodie,Vodka,Felt boots,,
106,Bear,Fur coat,Moonshine,Felt boots,Scar,
107,Bear,Hoodie,Beer,Army boots,,Black
108,Bear,Costume,Vodka,Felt boots,Golden chains,Love
109,Bear,Skin,Whiskey,Felt boots,,Neo
110,Bear,Fur coat,Beer,Army boots,Scar,Neo
111,Bear,Bathrobe,Vodka,Army boots,,Kurt Cobain
112,Bear,Shirt with tie,Vodka,Felt boots,The Ushanka,
113,Bear,Skin,Beer,The Lapti,Scar,Love
114,Bear,Vest,Vine,Felt boots,,Love
115,Bear,Sleeveless shirt,Beer,Slippers,,
116,Bear,Military,Vodka,Army boots,Golden chains,
117,Bear,Bathrobe,Vodka,Slippers,,Black
118,Bear,Skin,Moonshine,Army boots,The Ushanka,Love
119,Bear,Military,Vodka,Felt boots,,Party
120,Bear,Shirt with tie,Beer,Slippers,,
121,Bear,Vest,Vodka,Felt boots,,Neo
122,Bear,Shirt with tie,Vodka,Felt boots,Scar,
123,Bear,Costume,Beer,The Lapti,,
124,Bear,Bathrobe,Whiskey,,Scar,Black
125,Bear,Skin,Whiskey,Army boots,Balaclava,
126,Bear,Bathrobe,Vodka,,,
127,Bear,Military,Vodka,,The Ushanka,
128,Bear,Hoodie,Vodka,The Lapti,Golden chains,
129,Bear,Skin,Vodka,Army boots,,
130,Bear,Fur coat,Vodka,Sandals with socks,Golden chains,Party
131,Bear,Fur coat,Beer,The Lapti,,Kurt Cobain
132,Bear,Hoodie,Vine,,Balaclava,
133,Bear,Shirt with tie,Vodka,Army boots,,Kurt Cobain
134,Bear,Worker,Vodka,Felt boots,Scar,Kurt Cobain
135,Bear,Worker,Vodka,,,Neo
136,Bear,Worker,Vodka,Sandals with socks,Scar,Party
137,Bear,Vest,Absinthe,,,Kurt Cobain
138,Bear,Bathrobe,Beer,,,
139,Bear,Fur coat,Beer,Sandals with socks,Balaclava,Love
140,Bear,Military,Vodka,The Lapti,,
141,Bear,Bathrobe,Vodka,,,Kurt Cobain
142,Bear,Military,Beer,,,Party
143,Bear,Fur coat,Vodka,,,
144,Bear,Astronaut,Vodka,Felt boots,Scar,Black
145,Bear,Bathrobe,Whiskey,The Lapti,,
146,Bear,Fur coat,Whiskey,The Lapti,,
147,Bear,Skin,Beer,Army boots,,Neo
148,Bear,Bathrobe,Vine,Army boots,Golden chains,
149,Bear,Shirt with tie,Vodka,Army boots,Balaclava,
150,Bear,Costume,Whiskey,Slippers,Scar,
151,Bear,Costume,Vodka,,,Party
152,Bear,Worker,Beer,Slippers,Balaclava,
153,Bear,Costume,Vodka,The Lapti,,Neo
154,Bear,Skin,Beer,Slippers,,Neo
155,Bear,Medical uniform,Whiskey,Felt boots,,
156,Bear,Vest,Beer,Felt boots,,
157,Bear,Worker,Vodka,Felt boots,Balaclava,
158,Bear,Vest,Vodka,The Lapti,,
159,Bear,Worker,Whiskey,Adidas,Golden chains,Black
160,Bear,Costume,Vodka,Army boots,,
161,Bear,Military,Vodka,,,Party
162,Bear,Skin,Whiskey,,The Ushanka,Kurt Cobain
163,Bear,Sleeveless shirt,Whiskey,Army boots,,Love
164,Bear,Fur coat,Vine,,The Ushanka,
165,Bear,Skin,,Felt boots,Scar,Coded
166,Bear,Medical uniform,Vodka,The Lapti,The Ushanka,
167,Bear,Sleeveless shirt,Whiskey,Sandals with socks,,
168,Bear,Worker,Vodka,Slippers,,
169,Bear,Military,Whiskey,Felt boots,,
170,Bear,Bikini,Vodka,Army boots,,Kurt Cobain
171,Bear,Vest,Vodka,Felt boots,,
172,Bear,Bathrobe,Beer,Sandals with socks,,Neo
173,Bear,Skin,Vine,,,
174,Bear,Sleeveless shirt,Vodka,Slippers,Golden chains,Kurt Cobain
175,Bear,Costume,Vodka,Slippers,Scar,Kurt Cobain
176,Bear,Costume,Whiskey,The Lapti,Balaclava,Black
177,Bear,Hoodie,Beer,Sandals with socks,,Neo
178,Bear,Medical uniform,Beer,Army boots,The Ushanka,Love
179,Bear,Fur coat,Whiskey,,,
180,Bear,Shirt with tie,Vodka,,,Kurt Cobain
181,Bear,Bathrobe,Tincture,Felt boots,,Love
182,Bear,Skin,Vodka,Slippers,Scar,
183,Bear,Bathrobe,Beer,The Lapti,,
184,Bear,Worker,Vodka,Felt boots,,Neo
185,Bear,Military,Beer,The Lapti,,Neo
186,Bear,Hoodie,Beer,The Lapti,,
187,Bear,Shirt with tie,Vine,The Lapti,Scar,
188,Bear,Medical uniform,Vodka,Slippers,,
189,Bear,Medical uniform,Vodka,,,
190,Bear,Costume,Vodka,Army boots,,Black
191,Bear,Fur coat,Vodka,Slippers,,
192,Bear,Medical uniform,Vodka,Slippers,,
193,Bear,Medical uniform,Vodka,Felt boots,,
194,Bear,Costume,Vodka,The Lapti,,
195,Bear,Worker,Beer,Army boots,The Ushanka,
196,Bear,Worker,Beer,Army boots,,
197,Bear,Sleeveless shirt,Beer,Felt boots,The Ushanka,Neo
198,Bear,Bathrobe,Tincture,Slippers,,
199,Bear,Skin,Tincture,,,Party
200,Bear,Sleeveless shirt,Vodka,The Lapti,Golden chains,Party
201,Bear,Costume,Vodka,Army boots,,Kurt Cobain
202,Bear,Military,Beer,Army boots,,Party
203,Bear,Costume,Beer,,Scar,
204,Bear,Military,Vodka,Sandals with socks,,
205,Bear,Medical uniform,Whiskey,Army boots,,Love
206,Bear,Military,Vodka,Slippers,,
207,Bear,Hoodie,Whiskey,Army boots,,Black
208,Bear,Costume,Beer,Sandals with socks,The Ushanka,
209,Bear,Medical uniform,Vodka,Sandals with socks,,
210,Bear,Fur coat,Beer,Slippers,,
211,Bear,Medical uniform,Vodka,,,
212,Bear,Vest,Whiskey,Sandals with socks,,
213,Bear,Worker,Vine,Slippers,,
214,Bear,Fur coat,Vodka,Army boots,,
215,Bear,Military,Vodka,Sandals with socks,,Black
216,Bear,Vest,Vodka,,The Ushanka,
217,Bear,Medical uniform,Whiskey,Sandals with socks,The Ushanka,Party
218,Bear,Shirt with tie,Beer,Slippers,Balaclava,Neo
219,Bear,Medical uniform,Tincture,Sandals with socks,Scar,Love
220,Bear,Military,Vodka,Adidas,Golden chains,
221,Bear,Bathrobe,Beer,Sandals with socks,,
222,Bear,Skin,Vodka,Slippers,Golden chains,Black
223,Bear,Hoodie,Vodka,The Lapti,The Ushanka,Black
224,Bear,Vest,Vodka,Sandals with socks,,
225,Bear,Vest,Beer,,The Ushanka,
226,Bear,Bathrobe,Tincture,Army boots,,
227,Bear,Shirt with tie,Vodka,,The Ushanka,
228,Bear,Vest,Vodka,Sandals with socks,,
229,Bear,Hoodie,Vodka,Sandals with socks,The Ushanka,
230,Bear,Medical uniform,Beer,Sandals with socks,,Love
231,Bear,Bikini,Vodka,,,
232,Bear,Worker,Whiskey,Adidas,Scar,
233,Bear,Fur coat,Moonshine,Army boots,Scar,
234,Bear,Military,Beer,Felt boots,The Ushanka,
235,Bear,Medical uniform,Vodka,,,Love
236,Bear,Costume,Vodka,Adidas,,
237,Bear,Vest,Vodka,Sandals with socks,,
238,Bear,Military,Beer,Felt boots,,
239,Bear,Medical uniform,Beer,,,
240,Bear,Skin,Vine,Slippers,Scar,Love
241,Bear,Hoodie,Vodka,,,
242,Bear,Medical uniform,Vine,Adidas,Balaclava,Party
243,Bear,Bikini,Whiskey,The Lapti,,Neo
244,Bear,Vest,Beer,The Lapti,Scar,
245,Bear,Vest,Vodka,The Lapti,,Kurt Cobain
246,Bear,Military,Vodka,,,
247,Bear,Sleeveless shirt,Vodka,Slippers,,
248,Bear,Costume,Whiskey,Sandals with socks,Scar,Kurt Cobain
249,Bear,Shirt with tie,Beer,Adidas,,
250,Bear,Skin,Vodka,The Lapti,Golden chains,
251,Bear,Bathrobe,Beer,Felt boots,Scar,
252,Bear,Medical uniform,Vodka,Sandals with socks,Golden chains,
253,Bear,Fur coat,Moonshine,Slippers,,
254,Bear,Costume,Vodka,Felt boots,Scar,Neo
255,Bear,Military,Vodka,The Lapti,,Neo
256,Bear,Fur coat,Vodka,The Lapti,,
257,Bear,Costume,Vodka,,The Ushanka,Neo
258,Bear,Shirt with tie,Beer,Sandals with socks,Golden chains,
259,Bear,Costume,Vodka,Sandals with socks,,Neo
260,Bear,Skin,Vodka,Slippers,,
261,Bear,Shirt with tie,Whiskey,,Golden chains,
262,Bear,Military,Vodka,Sandals with socks,,
263,Bear,Sleeveless shirt,Beer,Sandals with socks,,Love
264,Bear,Worker,Vodka,,Golden chains,
265,Bear,Hoodie,Vodka,Sandals with socks,Balaclava,Party
266,Bear,Fur coat,Whiskey,Adidas,,
267,Bear,Vest,Vodka,Felt boots,,
268,Bear,Bathrobe,Vodka,,The Ushanka,
269,Bear,Costume,Vodka,Slippers,Scar,
270,Bear,Costume,Vine,Slippers,Golden chains,
271,Bear,Bikini,Vine,Sandals with socks,,
272,Bear,Medical uniform,Vodka,Felt boots,,Neo
273,Bear,Hoodie,Whiskey,Army boots,,Love
274,Bear,Medical uniform,Vodka,,Balaclava,
275,Bear,Sleeveless shirt,Vodka,Adidas,,
276,Bear,Skin,Vodka,,,Black
277,Bear,Bathrobe,Vodka,,Golden chains,
278,Bear,Hoodie,Vodka,Felt boots,,
279,Bear,Medical uniform,Beer,The Lapti,Scar,
280,Bear,Fur coat,Beer,Army boots,,Black
281,Bear,Bathrobe,Tincture,Slippers,Golden chains,Kurt Cobain
282,Bear,Vest,Vodka,,Balaclava,Neo
283,Bear,Hoodie,Vodka,Felt boots,Balaclava,Kurt Cobain
284,Bear,Worker,Vodka,Slippers,,
285,Bear,Vest,Vodka,Army boots,The Ushanka,
286,Bear,Bathrobe,Beer,Felt boots,,
287,Bear,Fur coat,Beer,Army boots,,
288,Bear,Shirt with tie,Vodka,The Lapti,Golden chains,
289,Bear,Worker,Vodka,Sandals with socks,,
290,Bear,Hoodie,Vodka,Army boots,,Kurt Cobain
291,Bear,Medical uniform,Beer,Army boots,Golden chains,
292,Bear,Medical uniform,Whiskey,,,
293,Bear,Worker,Vodka,Slippers,,
294,Bear,Sleeveless shirt,Whiskey,Slippers,,
295,Bear,Costume,Vodka,,,
296,Skelet,,Beer,Army boots,The Ushanka,Neo
297,Bear,Skin,Vodka,Army boots,,
298,Bear,Bathrobe,Vodka,,Scar,
299,Bear,Skin,Vodka,Felt boots,,
300,Bear,Medical uniform,Vodka,Sandals with socks,Scar,Neo
301,Bear,Bikini,Beer,Felt boots,,
302,Bear,Vest,Vodka,Army boots,,Party
303,Bear,Military,Vine,,The Ushanka,Neo
304,Bear,Sleeveless shirt,Vodka,The Lapti,Scar,Kurt Cobain
305,Bear,Bikini,Vodka,Army boots,,Love
306,Bear,Bathrobe,Vodka,,,
307,Bear,Vest,Beer,Adidas,,Kurt Cobain
308,Bear,Bathrobe,Moonshine,Felt boots,The Ushanka,Neo
309,Bear,Sleeveless shirt,Whiskey,,,Neo
310,Bear,Hoodie,Tincture,The Lapti,,Love
311,Bear,Bathrobe,Vodka,Felt boots,,
312,Bear,Hoodie,Beer,Army boots,Balaclava,Neo
313,Bear,Vest,Vodka,,,Neo
314,Bear,Worker,Beer,Sandals with socks,The Ushanka,Black
315,Bear,Hoodie,Whiskey,Army boots,,
316,Bear,Costume,Vodka,,Scar,
317,Bear,Vest,Beer,Felt boots,,Neo
318,Bear,Skin,Beer,The Lapti,,
319,Bear,Fur coat,Vodka,Slippers,The Ushanka,
320,Bear,Military,Vine,,,
321,Bear,Vest,Vodka,The Lapti,Scar,Kurt Cobain
322,Bear,Costume,Beer,The Lapti,,
323,Bear,Skin,Vodka,Sandals with socks,,
324,Bear,Shirt with tie,Vodka,Army boots,,
325,Bear,Shirt with tie,Vodka,,The Ushanka,
326,Bear,Medical uniform,Vodka,Army boots,,
327,Bear,Sleeveless shirt,Vodka,Slippers,Scar,Neo
328,Bear,Shirt with tie,Vodka,Sandals with socks,,
329,Bear,Vest,Absinthe,Slippers,,
330,Bear,Bathrobe,Tincture,,,
331,Bear,Military,Whiskey,,,
332,Bear,Fur coat,Vodka,Adidas,Balaclava,
333,Bear,Sleeveless shirt,Tincture,Sandals with socks,Golden chains,
334,Bear,Costume,Whiskey,Sandals with socks,,
335,Bear,Skin,Vodka,The Lapti,,
336,Bear,Sleeveless shirt,Vodka,Army boots,Scar,
337,Bear,Military,Beer,Felt boots,The Ushanka,Neo
338,Bear,Military,Vodka,Felt boots,Balaclava,Party
339,Bear,Medical uniform,Vodka,Slippers,,
340,Bear,Hoodie,Vodka,Felt boots,,
341,Bear,Fur coat,Vodka,The Lapti,Golden chains,Black
342,Bear,Costume,Whiskey,Sandals with socks,Balaclava,Love
343,Bear,Medical uniform,Vodka,Slippers,Golden chains,Kurt Cobain
344,Bear,Fur coat,Vodka,Felt boots,,
345,Bear,Skin,Vodka,Felt boots,,
346,Bear,Bathrobe,Vodka,Adidas,,
347,Bear,Hoodie,Beer,Slippers,The Ushanka,
348,Bear,Vest,Vodka,Army boots,,Black
349,Bear,Hoodie,Beer,The Lapti,,
350,Bear,Worker,Beer,The Lapti,Golden chains,
351,Bear,Costume,Vodka,Slippers,,Black
352,Bear,Vest,Vodka,Army boots,,
353,Bear,Medical uniform,Vodka,Slippers,,Kurt Cobain
354,Bear,Shirt with tie,Vodka,Adidas,,Party
355,Bear,Shirt with tie,Vodka,,,Kurt Cobain
356,Bear,Sleeveless shirt,Vodka,Army boots,,Party
357,Bear,Costume,Vodka,,The Ushanka,
358,Bear,Hoodie,Vodka,Army boots,,Black
359,Bear,Worker,Vodka,Army boots,Balaclava,
360,Bear,Medical uniform,Vodka,Sandals with socks,The Ushanka,Party
361,Bear,Worker,Whiskey,Army boots,Balaclava,
362,Bear,Military,Vodka,Slippers,,Kurt Cobain
363,Bear,Sleeveless shirt,Vodka,Felt boots,,
364,Bear,Fur coat,Vodka,Felt boots,The Ushanka,
365,Bear,Vest,Vodka,Slippers,Golden chains,Neo
366,Bear,Fur coat,Vodka,The Lapti,The Ushanka,
367,Bear,Shirt with tie,Vodka,Felt boots,,Party
368,Bear,Worker,Vodka,Army boots,,
369,Bear,Skin,Vodka,The Lapti,,
370,Bear,Bathrobe,Beer,Sandals with socks,,
371,Bear,Hoodie,Vodka,Sandals with socks,,
372,Bear,Shirt with tie,Vodka,The Lapti,Scar,Black
373,Bear,Medical uniform,Vodka,Army boots,The Ushanka,Black
374,Bear,Bathrobe,Vodka,Adidas,The Ushanka,Black
375,Bear,Worker,Vodka,,,
376,Bear,Military,Vodka,,Balaclava,
377,Bear,Fur coat,Vodka,The Lapti,Golden chains,
378,Bear,Vest,Beer,Sandals with socks,,
379,Bear,Skin,Beer,The Lapti,Golden chains,Kurt Cobain
380,Bear,Bathrobe,Whiskey,,,
381,Bear,Fur coat,Whiskey,Sandals with socks,Balaclava,
382,Bear,Vest,Beer,Adidas,,Black
383,Bear,Sleeveless shirt,Vodka,,,Black
384,Bear,Hoodie,Vodka,Sandals with socks,Scar,
385,Bear,Bathrobe,Vodka,Slippers,,
386,Bear,Medical uniform,Vodka,Army boots,,Party
387,Bear,Medical uniform,Vodka,Slippers,Balaclava,
388,Bear,Fur coat,Vodka,The Lapti,,Black
389,Bear,Hoodie,Beer,,Balaclava,Party
390,Bear,Fur coat,Vodka,The Lapti,,Love
391,Bear,Sleeveless shirt,Vodka,The Lapti,Balaclava,
392,Bear,Hoodie,Vodka,Sandals with socks,,
393,Bear,Vest,Beer,The Lapti,,
394,Bear,Costume,Vodka,Sandals with socks,,Love
395,Bear,Vest,Vodka,The Lapti,,Black
396,Bear,Military,Vodka,,Scar,Love
397,Bear,Military,Vodka,Slippers,Balaclava,
398,Bear,Worker,Vodka,Felt boots,,
399,Bear,Shirt with tie,Vodka,Slippers,Balaclava,
400,Bear,Fur coat,Vodka,Slippers,,
401,Bear,Vest,Tincture,Adidas,The Ushanka,
402,Bear,Sleeveless shirt,Vodka,The Lapti,Balaclava,
403,Bear,Medical uniform,Vodka,Sandals with socks,,Kurt Cobain
404,Bear,Shirt with tie,Tincture,Slippers,,Kurt Cobain
405,Bear,Medical uniform,Vine,The Lapti,Scar,
406,Bear,Bikini,Vodka,Slippers,,
407,Bear,Shirt with tie,Vodka,The Lapti,,
408,Bear,Fur coat,Beer,,,
409,Bear,Skin,Beer,,Scar,
410,Bear,Bikini,Vodka,Felt boots,Scar,Love
411,Bear,Military,Vodka,The Lapti,,Love
412,Bear,Worker,Beer,Army boots,Balaclava,
413,Bear,Bikini,Beer,Adidas,Balaclava,Party
414,Bear,Shirt with tie,Vodka,The Lapti,Balaclava,
415,Bear,Sleeveless shirt,Vodka,Army boots,,
416,Bear,Skin,Vodka,Slippers,,Party
417,Bear,Sleeveless shirt,Whiskey,Adidas,,
418,Bear,Skin,Vodka,The Lapti,The Ushanka,Love
419,Bear,Sleeveless shirt,Beer,,,
420,Bear,Skin,Vodka,Slippers,Golden chains,
421,Bear,Medical uniform,Whiskey,Army boots,,
422,Skelet,,Vodka,,,
423,Bear,Bathrobe,Vodka,Felt boots,Scar,
424,Bear,Fur coat,Beer,The Lapti,,
425,Bear,Skin,Vodka,,Balaclava,Party
426,Bear,Bikini,Vodka,,,
427,Bear,Fur coat,Vodka,Adidas,The Ushanka,
428,Bear,Skin,Vodka,The Lapti,,Kurt Cobain
429,Bear,Worker,Vodka,,The Ushanka,Love
430,Bear,Hoodie,Vodka,,,Neo
431,Bear,Fur coat,Vodka,,Scar,Love
432,Bear,Hoodie,Vodka,Felt boots,Golden chains,Kurt Cobain
433,Bear,Sleeveless shirt,Vodka,Army boots,Scar,
434,Bear,Sleeveless shirt,Vodka,Felt boots,,Party
435,Bear,Skin,Vodka,Army boots,,Neo
436,Bear,Medical uniform,Vodka,Felt boots,Balaclava,Black
437,Bear,Medical uniform,Vodka,Sandals with socks,,
438,Bear,Bathrobe,Beer,Adidas,Scar,Black
439,Bear,Medical uniform,Beer,Slippers,,
440,Bear,Sleeveless shirt,Whiskey,Slippers,,Love
441,Bear,Vest,Vodka,The Lapti,,
442,Bear,Vest,Beer,Felt boots,The Ushanka,Black
443,Bear,Medical uniform,Beer,,,
444,Bear,Military,Beer,Sandals with socks,,Neo
445,Bear,Fur coat,Vodka,Slippers,Balaclava,
446,Bear,Worker,Vine,The Lapti,,Party
447,Bear,Worker,Beer,Sandals with socks,Scar,
448,Bear,Skin,Vodka,Slippers,,
449,Bear,Fur coat,Whiskey,Army boots,,
450,Bear,Shirt with tie,Beer,Sandals with socks,,
451,Bear,Fur coat,Beer,Sandals with socks,Scar,
452,Bear,Skin,Whiskey,Slippers,The Ushanka,
453,Bear,Vest,Vodka,Felt boots,,
454,Bear,Worker,Whiskey,Felt boots,Balaclava,
455,Bear,Military,Vodka,Slippers,,Black
456,Bear,Sleeveless shirt,Vodka,,The Ushanka,Black
457,Bear,Sleeveless shirt,Vodka,Felt boots,The Ushanka,
458,Bear,Shirt with tie,Vodka,Slippers,,
459,Bear,Bikini,Vodka,Felt boots,,
460,Bear,Medical uniform,Vodka,Slippers,,Love
461,Bear,Shirt with tie,Beer,Army boots,Balaclava,Neo
462,Bear,Medical uniform,Vodka,Felt boots,,
463,Bear,Vest,Beer,Army boots,Golden chains,Black
464,Bear,Bathrobe,Vodka,Army boots,,
465,Bear,Hoodie,Beer,Army boots,The Ushanka,Black
466,Bear,Military,Vodka,Sandals with socks,,
467,Bear,Hoodie,Vodka,Felt boots,The Ushanka,Love
468,Bear,Skin,Absinthe,Slippers,,
469,Bear,Sleeveless shirt,Beer,,,Kurt Cobain
470,Bear,Hoodie,Vodka,,,Kurt Cobain
471,Bear,Hoodie,Beer,Army boots,,
472,Bear,Shirt with tie,Whiskey,Army boots,,Party
473,Bear,Sleeveless shirt,Beer,Sandals with socks,,Party
474,Bear,Worker,Vodka,Sandals with socks,Golden chains,Party
475,Bear,Military,Beer,Felt boots,The Ushanka,
476,Bear,Skin,Beer,,Balaclava,
477,Bear,Sleeveless shirt,Beer,The Lapti,,
478,Bear,Bathrobe,Beer,The Lapti,Balaclava,
479,Bear,Worker,Beer,Slippers,The Ushanka,
480,Bear,Fur coat,Beer,Sandals with socks,Balaclava,
481,Bear,Costume,Vodka,Felt boots,,Love
482,Bear,Worker,Beer,The Lapti,Golden chains,
483,Bear,Military,Moonshine,The Lapti,The Ushanka,Love
484,Bear,Shirt with tie,Vodka,Slippers,Scar,Kurt Cobain
485,Bear,Worker,Beer,Slippers,Golden chains,
486,Bear,Vest,Beer,Felt boots,Golden chains,
487,Bear,Hoodie,Vodka,Army boots,,
488,Bear,Fur coat,Vine,Felt boots,Balaclava,Kurt Cobain
489,Bear,Fur coat,Vodka,,Golden chains,
490,Bear,Costume,Beer,The Lapti,,Black
491,Bear,Sleeveless shirt,Beer,Slippers,Golden chains,
492,Bear,Fur coat,Vodka,Felt boots,,
493,Bear,Fur coat,Whiskey,Army boots,Scar,
494,Bear,Bikini,Beer,Army boots,Scar,
495,Bear,Shirt with tie,Vodka,Adidas,,
496,Bear,Vest,Vodka,Felt boots,The Ushanka,
497,Bear,Costume,Vine,Felt boots,Scar,
498,Bear,Hoodie,Vodka,Sandals with socks,Balaclava,Black
499,Bear,Costume,Vodka,,,
500,Bear,Costume,Whiskey,,The Ushanka,Neo
501,Bear,Shirt with tie,Beer,,,
502,Bear,Hoodie,Vodka,,Balaclava,
503,Bear,Military,Vodka,The Lapti,,
504,Skelet,,Beer,Slippers,,
505,Bear,Hoodie,Whiskey,,Balaclava,
506,Bear,Fur coat,Vodka,Adidas,Scar,
507,Bear,Hoodie,Vodka,Adidas,The Ushanka,
508,Bear,Shirt with tie,Vodka,Felt boots,,
509,Bear,Vest,Vodka,Army boots,Balaclava,Party
510,Bear,Costume,Beer,,,
511,Bear,Vest,Vodka,Army boots,Balaclava,
512,Bear,Vest,Vodka,,The Ushanka,
513,Bear,Shirt with tie,Vodka,Felt boots,,Black
514,Bear,Military,Vodka,,,
515,Bear,Vest,Beer,The Lapti,Golden chains,
516,Bear,Hoodie,Vodka,Army boots,,
517,Bear,Medical uniform,Beer,Army boots,,Neo
518,Bear,Medical uniform,Vodka,,,
